ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"115.127.2.230","elite","AS24342","BD","bracNet","198","BRAC BDMail Network Ltd","5678","socks5","1","98","5241","5374","2026-05-03T07:49:27.431Z","2405"
"103.109.56.97","elite","AS138640","BD","HelloTech Limited","182","Hello Tech Limited","1080","socks4","1","49","5923","12112","2026-05-03T07:47:55.631Z","5011"
"115.127.191.138","elite","AS24342","BD","BRACNet Limited","186","bracNet","1080","socks4","1","90","4657","5194","2026-05-03T07:45:38.923Z","4069"
"103.220.205.162","elite","AS59362","BD","KS Network","183","Nazmul Karim Bhuiyan","4673","socks5","1","97","3813","3915","2026-05-03T07:45:38.932Z","1876"
"202.72.232.254","elite","AS38210","BD","Ranks Telecom Ltd.","182","Ranks Telecom Ltd","1080","socks4","1","100","78","78","2026-05-03T07:43:48.229Z","412"
"103.250.70.154","elite","AS9441","BD","Next Online Ltd","178","N/A","2626","socks4","1","100","555","556","2026-05-03T07:42:53.613Z","2586"
"180.211.179.82","elite","AS45588","BD","Bangladesh Telegraph & Telephone Board","185","N/A","5678","socks4","1","96","4954","5163","2026-05-03T07:41:57.149Z","4976"
"103.95.98.33","elite","AS136759","BD","Cosmopolitan Communications Limited","208","Cosmopolitan Communications Limited","1088","socks4","1","98","5248","5352","2026-05-03T07:40:08.221Z","4203"
"103.234.24.105","elite","AS38200","BD","BTS Communications (BD) Ltd","183","Btscombd","8880","socks5","1","97","5212","5385","2026-05-03T07:39:41.131Z","5000"
"103.30.29.49","elite","AS45326","BD","Broad Band Telecom Services Ltd","184","N/A","1080","socks5","1","96","51","53","2026-05-03T07:39:41.129Z","4579"
"202.4.107.69","elite","AS23956","BD","dhakaCom Limited","181","DhakaCom Limited","5678","socks4","1","95","11488","12094","2026-05-03T07:38:28.020Z","4401"
"163.53.150.138","elite","AS58923","BD","Intercloud","359","InterCloud ltd","1080","socks4","2","98","5296","5383","2026-05-03T07:37:12.533Z","4883"
